Date,NVDA_Price,Strike,Contracts,Allocation,Premium,Hedge_Cost,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-05-20,3.6024677753448486,3.6551721171569675,1,10%,40,30,4.72956581878811,50611.1086126902,32.05722650520184,ASSIGNED,50611.1086126902,0.0
2019-05-27,3.365809917449951,3.376571796213016,1,10%,40,0,38.9238121236935,50650.03242481389,33.08714662221785,ASSIGNED,50650.03242481389,0.0
2019-06-03,3.615276336669922,3.1484696856553476,1,10%,40,0,40.0,50690.03242481389,33.62568283238949,OTM,50690.03242481389,0.0
2019-06-10,3.5939080715179443,3.413681175184054,1,10%,40,0,40.0,50730.03242481389,31.084229783491708,OTM,50730.03242481389,0.0
2019-06-17,3.770820140838623,3.403687950420536,1,10%,40,30,10.0,50740.03242481389,30.266910262442998,OTM,50740.03242481389,0.0
2019-06-24,4.080666542053223,3.5607012086692715,1,10%,40,0,40.0,50780.03242481389,31.07278110514916,OTM,50780.03242481389,0.0
2019-07-01,3.981276750564575,3.842985233303757,1,10%,40,0,40.0,50820.03242481389,31.800630722144582,OTM,50820.03242481389,0.0
2019-07-08,4.164648532867432,3.7490231007056476,1,10%,40,0,40.0,50860.03242481389,31.82681201926036,OTM,50860.03242481389,0.0
2019-07-15,4.185272693634033,3.912102346129335,1,10%,40,30,10.0,50870.03242481389,32.49138192134873,OTM,50870.03242481389,0.0
2019-07-22,4.350009918212891,3.936010524876572,1,10%,40,0,40.0,50910.03242481389,32.178857317572344,OTM,50910.03242481389,0.0
2019-07-29,4.005129814147949,4.088153476327666,1,10%,40,0,31.697633782028287,50941.730058595924,32.36339632835799,ASSIGNED,50941.730058595924,0.0
2019-08-05,3.8309502601623535,3.7632284274452164,1,10%,40,0,40.0,50981.730058595924,32.4214149120776,OTM,50981.730058595924,0.0
2019-08-12,3.9646294116973877,3.609463817602931,1,10%,40,30,10.0,50991.730058595924,31.676399769998866,OTM,50991.730058595924,0.0
2019-08-19,4.036188125610352,3.7519461769453657,1,10%,40,0,40.0,51031.730058595924,30.47363405149435,OTM,51031.730058595924,0.0
2019-08-26,4.166284561157227,3.84178807122497,1,10%,40,0,40.0,51071.730058595924,28.892699591320202,OTM,51071.730058595924,0.0
2019-09-02,4.443357944488525,3.978764553657133,1,10%,40,0,40.0,51111.730058595924,27.982560212434095,OTM,51111.730058595924,0.0
2019-09-09,4.525185585021973,4.234184423617724,1,10%,40,30,10.0,51121.730058595924,28.578664863666773,OTM,51121.730058595924,0.0
2019-09-16,4.295120716094971,4.316579463678272,1,10%,40,0,37.8541252416699,51159.58418383759,28.296958593166288,ASSIGNED,51159.58418383759,0.0
2019-09-23,4.2719902992248535,4.102736114572213,1,10%,40,0,40.0,51199.58418383759,27.91982398167682,OTM,51199.58418383759,0.0
2019-09-30,4.5259318351745605,4.084105859942516,1,10%,40,0,40.0,51239.58418383759,27.685927303106222,OTM,51239.58418383759,0.0
2019-10-07,4.625916481018066,4.321272436295302,1,10%,40,30,10.0,51249.58418383759,28.043235886672953,OTM,51249.58418383759,0.0
2019-10-14,4.737839698791504,4.415955761511068,1,10%,40,0,40.0,51289.58418383759,28.0918773500933,OTM,51289.58418383759,0.0
2019-10-21,5.087289810180664,4.5261463835140345,1,10%,40,0,40.0,51329.58418383759,27.888086578371478,OTM,51329.58418383759,0.0
2019-10-28,5.038788318634033,4.889107404784197,1,10%,40,0,40.0,51369.58418383759,26.236738636305464,OTM,51369.58418383759,0.0
2019-11-04,5.167874336242676,4.863033425685474,1,10%,40,30,10.0,51379.58418383759,25.061042272345396,OTM,51379.58418383759,0.0
2019-11-11,5.078584671020508,4.98849246782589,1,10%,40,0,40.0,51419.58418383759,25.012171076675124,OTM,51419.58418383759,0.0
2019-11-18,5.245225429534912,4.892686823615594,1,10%,40,0,40.0,51459.58418383759,25.558283683113046,OTM,51459.58418383759,0.0
2019-11-25,5.394702434539795,5.0531329298216825,1,10%,40,0,40.0,51499.58418383759,25.563501861303394,OTM,51499.58418383759,0.0
2019-12-02,5.280956745147705,5.212548047102083,1,20%,40,0,40.0,51539.58418383759,24.739435928883484,OTM,51539.58418383759,0.0
2019-12-09,5.575158596038818,5.093602650426588,1,10%,40,0,40.0,51579.58418383759,25.23321837742082,OTM,51579.58418383759,0.0
2019-12-16,5.957968711853027,5.402617878673852,1,20%,40,0,40.0,51619.58418383759,23.926804758619525,OTM,51619.58418383759,0.0
2019-12-23,5.895742893218994,5.7657756821465265,1,20%,40,0,40.0,51659.58418383759,24.304672205007808,OTM,51659.58418383759,0.0
2019-12-30,5.87583065032959,5.704211684007327,1,20%,40,0,40.0,51699.58418383759,24.370498112576136,OTM,51699.58418383759,0.0
2020-01-06,6.081175804138184,5.679849887316988,1,20%,40,0,40.0,51739.58418383759,24.620681494717452,OTM,51739.58418383759,0.0
2020-01-13,6.204629421234131,5.876837607231848,1,20%,40,0,40.0,51779.58418383759,24.69222887429494,OTM,51779.58418383759,0.0
2020-01-20,6.234499454498291,6.022722854198576,1,20%,40,0,40.0,51819.58418383759,23.456568929589565,OTM,51819.58418383759,0.0
2020-01-27,5.884791851043701,6.057359258000677,1,20%,40,0,22.74325930430244,51842.3274431419,23.19553282285833,ASSIGNED,51842.3274431419,0.0
2020-02-03,6.262128829956055,5.676364309909528,1,10%,40,0,40.0,51882.3274431419,25.216112390039562,OTM,51882.3274431419,0.0
2020-02-10,7.2129340171813965,6.029389195915292,1,10%,40,0,40.0,51922.3274431419,25.7203758613517,OTM,51922.3274431419,0.0
2020-02-17,7.319464683532715,6.826034535257173,1,10%,40,0,40.0,51962.3274431419,30.472049706323098,OTM,51962.3274431419,0.0
2020-02-24,6.726118564605713,6.925838613506606,1,10%,40,30,-9.972004890089323,51952.355438251805,30.51194291059575,ASSIGNED,51962.3274431419,-0.019190835708820384
2020-03-02,6.625751495361328,6.316079358777658,1,10%,40,0,40.0,51992.355438251805,32.584196500410634,OTM,51992.355438251805,0.0
2020-03-09,5.998143196105957,6.22275439987908,1,10%,40,0,17.538879622687684,52009.894317874496,32.54399261899951,ASSIGNED,52009.894317874496,0.0
2020-03-16,5.124223232269287,5.6019301007576745,1,10%,40,0,-7.770686848838736,52002.12363102566,34.0534515043385,ASSIGNED,52009.894317874496,-0.01494078569232534
2020-03-23,6.294266223907471,4.720529361955281,1,10%,40,30,10.0,52012.12363102566,37.72405214263965,OTM,52012.12363102566,0.0
2020-03-30,6.074601650238037,5.636901639966552,1,10%,40,0,40.0,52052.12363102566,45.12470880332916,OTM,52052.12363102566,0.0
2020-04-06,6.548796653747559,5.437371406504336,1,10%,40,0,40.0,52092.12363102566,45.25800143412852,OTM,52092.12363102566,0.0
2020-04-13,7.280259132385254,5.848176237697288,1,10%,40,0,40.0,52132.12363102566,45.85907800494108,OTM,52132.12363102566,0.0
2020-04-20,7.21226692199707,6.472651568879338,1,10%,40,30,10.0,52142.12363102566,46.99743775844523,OTM,52142.12363102566,0.0
2020-04-27,7.04266357421875,6.427016583600635,1,10%,40,0,40.0,52182.12363102566,46.404942604423994,OTM,52182.12363102566,0.0
2020-05-04,7.782841682434082,6.276707415622023,1,10%,40,0,40.0,52222.12363102566,46.37101950674146,OTM,52222.12363102566,0.0
2020-05-11,8.458518981933594,6.97221883341855,1,10%,40,0,40.0,52262.12363102566,45.04293153011038,OTM,52262.12363102566,0.0
2020-05-18,8.991987228393555,7.558242202194597,1,10%,40,30,10.0,52272.12363102566,45.70035403021845,OTM,52272.12363102566,0.0
2020-05-25,8.84180736541748,8.071216549078096,1,10%,40,0,40.0,52312.12363102566,44.536393350138695,OTM,52312.12363102566,0.0
2020-06-01,8.8901948928833,7.935787941252145,1,10%,40,0,40.0,52352.12363102566,44.55684832647546,OTM,52352.12363102566,0.0
2020-06-08,8.902652740478516,8.042940998199132,1,10%,40,0,40.0,52392.12363102566,42.48931736527622,OTM,52392.12363102566,0.0
2020-06-15,9.230300903320312,8.213657580277612,1,10%,40,30,10.0,52402.12363102566,37.32330026627416,OTM,52402.12363102566,0.0
2020-06-22,9.124408721923828,8.739864867784071,1,10%,40,0,40.0,52442.12363102566,30.325977274046256,OTM,52442.12363102566,0.0
2020-06-29,9.580131530761719,8.661230096489694,1,10%,40,0,40.0,52482.12363102566,29.642169894814515,OTM,52482.12363102566,0.0
2020-07-06,10.444232940673828,9.108293749896017,1,10%,40,0,40.0,52522.12363102566,29.206362884682996,OTM,52522.12363102566,0.0
2020-07-13,10.167410850524902,9.959084342760923,1,10%,40,30,10.0,52532.12363102566,28.398614572697117,OTM,52532.12363102566,0.0
2020-07-20,10.160435676574707,9.678773667743751,1,10%,40,0,40.0,52572.12363102566,28.862380057355537,OTM,52572.12363102566,0.0
2020-07-27,10.579282760620117,9.691427696436541,1,10%,40,0,40.0,52612.12363102566,28.31464417329028,OTM,52612.12363102566,0.0
2020-08-03,11.162075996398926,10.153307207779912,1,10%,40,0,40.0,52652.12363102566,26.614221739693456,OTM,52652.12363102566,0.0
2020-08-10,11.525361061096191,10.750746657496517,1,10%,40,30,10.0,52662.12363102566,25.629341875069144,OTM,52662.12363102566,0.0
2020-08-17,12.641119003295898,11.123009841952495,1,10%,40,0,40.0,52702.12363102566,25.069605237894848,OTM,52702.12363102566,0.0
2020-08-24,13.103816032409668,12.150682704504323,1,10%,40,0,40.0,52742.12363102566,26.190738555222904,OTM,52742.12363102566,0.0
2020-08-31,12.584086418151855,12.606211517794529,1,10%,40,0,37.78749003573264,52779.91112106139,25.95338083446724,ASSIGNED,52779.91112106139,0.0
2020-09-07,12.12747859954834,12.046911018150135,1,10%,40,30,10.0,52789.91112106139,27.31277907202118,OTM,52789.91112106139,0.0
2020-09-14,12.152152061462402,11.561513616750764,1,10%,40,0,40.0,52829.91112106139,28.461104870849276,OTM,52829.91112106139,0.0
2020-09-21,12.83457088470459,11.59447124511201,1,10%,40,0,40.0,52869.91112106139,28.237140342050512,OTM,52869.91112106139,0.0
2020-09-28,13.022497177124023,12.241217601808293,1,10%,40,0,40.0,52909.91112106139,28.335019644463834,OTM,52909.91112106139,0.0
2020-10-05,13.720865249633789,12.481478363993984,1,10%,40,30,10.0,52919.91112106139,26.983391788528376,OTM,52919.91112106139,0.0
2020-10-12,13.7694673538208,13.173183312353029,1,10%,40,0,40.0,52959.91112106139,26.513532253741452,OTM,52959.91112106139,0.0
2020-10-19,13.5488920211792,13.22313789541586,1,10%,40,0,40.0,52999.91112106139,26.444561071006966,OTM,52999.91112106139,0.0
2020-10-26,12.495854377746582,12.991470086167059,1,10%,40,0,-9.561570842047686,52990.34955021935,26.867027152407456,ASSIGNED,52999.91112106139,-0.018040729955573407
2020-11-02,14.517685890197754,11.88963068563856,1,10%,40,30,10.0,53000.34955021935,28.993572845657546,OTM,53000.34955021935,0.0
2020-11-09,13.256532669067383,13.569758949877976,1,10%,40,0,8.677371918940722,53009.02692213829,33.833851149923696,ASSIGNED,53009.02692213829,0.0
2020-11-16,13.047919273376465,12.362038385440684,1,10%,40,0,40.0,53049.02692213829,34.46297775285389,OTM,53049.02692213829,0.0
2020-11-23,13.220890998840332,12.17361944621252,1,10%,40,0,40.0,53089.02692213829,34.3277275306328,OTM,53089.02692213829,0.0
2020-11-30,13.520980834960938,12.351319623994232,1,10%,40,30,10.0,53099.02692213829,33.97169671822171,OTM,53099.02692213829,0.0
2020-12-07,12.977479934692383,12.648684640342884,1,10%,40,0,40.0,53139.02692213829,33.608760387887,OTM,53139.02692213829,0.0
2020-12-14,13.235518455505371,12.118690484963807,1,10%,40,0,40.0,53179.02692213829,34.08789325142442,OTM,53179.02692213829,0.0
2020-12-21,12.958030700683594,12.381085958209601,1,10%,40,0,40.0,53219.02692213829,33.620805468432316,OTM,53219.02692213829,0.0
2020-12-28,13.01911449432373,12.117566043173257,1,10%,40,30,10.0,53229.02692213829,33.70863551949408,OTM,53229.02692213829,0.0
2021-01-04,13.240255355834961,12.201688933372882,1,10%,40,0,40.0,53269.02692213829,33.110416189477036,OTM,53269.02692213829,0.0
2021-01-11,12.824151039123535,12.40577126815719,1,10%,40,0,40.0,53309.02692213829,33.17955974908005,OTM,53309.02692213829,0.0
2021-01-18,13.674808502197266,12.00976884180492,1,10%,40,0,40.0,53349.02692213829,33.3172937455233,OTM,53349.02692213829,0.0
2021-01-25,12.9540433883667,12.831873517558599,1,10%,40,30,10.0,53359.02692213829,32.78011185170935,OTM,53359.02692213829,0.0
2021-02-01,13.553641319274902,12.422650831496808,1,10%,40,0,40.0,53399.02692213829,26.83237112152908,OTM,53399.02692213829,0.0
2021-02-08,14.920125961303711,13.071191093207823,1,10%,40,0,40.0,53439.02692213829,25.267345797149126,OTM,53439.02692213829,0.0
2021-02-15,14.885472297668457,14.250504578386032,1,10%,40,0,40.0,53479.02692213829,27.945489803603955,OTM,53479.02692213829,0.0
2021-02-22,13.676798820495605,14.214582467806936,1,10%,40,30,-43.77836473113309,53435.24855740716,28.000206555122382,ASSIGNED,53479.02692213829,-0.08186081021045515
2021-03-01,12.427247047424316,12.96522631265661,1,10%,40,0,-13.7979265232293,53421.45063088393,30.007085777290307,ASSIGNED,53479.02692213829,-0.10766144144354911
2021-03-08,12.825087547302246,11.711270510824871,1,10%,40,0,40.0,53461.45063088393,31.61825892661214,OTM,53479.02692213829,-0.03286576489124911
2021-03-15,12.814862251281738,12.079464432745569,1,10%,40,0,40.0,53501.45063088393,31.769522152826227,OTM,53501.45063088393,0.0
2021-03-22,12.80837631225586,12.074151151401763,1,10%,40,30,10.0,53511.45063088393,31.672340590507456,OTM,53511.45063088393,0.0
2021-03-29,13.778539657592773,12.06821994842914,1,10%,40,0,40.0,53551.45063088393,31.668290540993294,OTM,53551.45063088393,0.0
2021-04-05,14.365374565124512,12.928433721107185,1,10%,40,0,40.0,53591.45063088393,32.79637389590022,OTM,53591.45063088393,0.0
