Week,Open,High,Low,Close,Volume,Date,Returns,Volatility_12w,VIX_Estimate
2020-10-26/2020-11-01,13.386141021800452,13.65108226297585,12.262566328767218,12.495854377746582,1700836000,2020-10-26,-0.07772131047959807,0.3498393211414387,28.993572845657546
2020-11-02/2020-11-08,12.619229592342585,14.544354097959005,12.357279530009336,14.517685890197754,1685156000,2020-11-02,0.16180018199089918,0.4708462787480924,33.833851149923696
2020-11-09/2020-11-15,14.508212670449465,14.6467895958849,12.589818331459508,13.256532669067383,2343912000,2020-11-09,-0.0868701272826059,0.4865744438213472,34.46297775285389
2020-11-16/2020-11-22,13.132411731318832,13.607960310940665,13.02523765866418,13.047919273376465,2143752000,2020-11-16,-0.015736648556503252,0.48319318826581986,34.3277275306328
2020-11-23/2020-11-29,13.13116767943789,13.366696632376183,12.845786248557692,13.220890998840332,1135048000,2020-11-23,0.013256652025492421,0.47429241795554267,33.97169671822171
2020-11-30/2020-12-06,13.224630916672167,13.631886804695778,12.932771486384768,13.520980834960938,1269024000,2020-11-30,0.02269815522621954,0.46521900969717506,33.608760387887
2020-12-07/2020-12-13,13.56386361302514,13.69350639302831,12.78775249231432,12.977479934692383,1313492000,2020-12-07,-0.04019685457013855,0.4771973312856104,34.08789325142442
2020-12-14/2020-12-20,13.052021331987167,13.426990207111126,13.034572396275758,13.235518455505371,1259736000,2020-12-14,0.019883561532095362,0.46552013671080783,33.620805468432316
2020-12-21/2020-12-27,13.03881183773621,13.333250233498303,12.903182538590542,12.958030700683594,764940000,2020-12-21,-0.020965386112725692,0.4677158879873519,33.70863551949408
2020-12-28/2021-01-03,13.026593800525333,13.177425373572817,12.72816672890075,13.01911449432373,800756000,2020-12-28,0.004713971980087495,0.4527604047369259,33.110416189477036
2021-01-04/2021-01-10,13.068229351372885,13.614972534629288,12.551405089053157,13.240255355834961,2217832000,2021-01-04,0.016985860413751386,0.4544889937270012,33.17955974908005
2021-01-11/2021-01-17,13.381863973703096,13.922624053204572,12.813181596075031,12.824151039123535,1580748000,2021-01-11,-0.0314272123556929,0.45793234363808244,33.3172937455233
2021-01-18/2021-01-24,12.980471556161469,13.960769900780255,12.808695229598227,13.674808502197266,1069360000,2021-01-18,0.06633245822499823,0.4445027962927337,32.78011185170935
2021-01-25/2021-01-31,13.74386752287208,13.790489088581495,12.758584393690919,12.9540433883667,1286232000,2021-01-25,-0.05270751058157441,0.29580927803822693,26.83237112152908
2021-02-01/2021-02-07,13.0173689240045,13.893453042028312,12.867282328759186,13.553641319274902,1053544000,2021-02-01,0.04628654644206831,0.2566836449287281,25.267345797149126
2021-02-08/2021-02-14,13.689515891627082,15.249218806385759,13.689515891627082,14.920125961303711,2033120000,2021-02-08,0.10082048136285726,0.3236372450900989,27.945489803603955
2021-02-15/2021-02-21,15.022841169340257,15.330244273460584,14.53493793318427,14.885472297668457,1102308000,2021-02-15,-0.002322612002414126,0.3250051638780596,28.000206555122382
2021-02-22/2021-02-28,14.73413981676388,15.09165492149225,13.179922110478243,13.676798820495605,2491352000,2021-02-22,-0.0811981946560183,0.3751771444322577,30.007085777290307
2021-03-01/2021-03-07,13.83686081326145,13.886723564961258,11.647146826988086,12.427247047424316,2111076000,2021-03-01,-0.0913628831915515,0.41545647316530343,31.61825892661214
2021-03-08/2021-03-14,12.415776761591959,13.014879220865792,11.53470526212684,12.825087547302246,1993192000,2021-03-08,0.03201356650911569,0.41923805382065565,31.769522152826227
2021-03-15/2021-03-21,12.833814860693973,13.48001020802936,12.582173435760843,12.814862251281738,1331084000,2021-03-15,-0.0007972885941553987,0.41680851476268643,31.672340590507456
2021-03-22/2021-03-28,12.881698271782794,13.362289317845523,12.24249335010296,12.80837631225586,1424804000,2021-03-22,-0.0005061263163581575,0.41670726352483234,31.668290540993294
2021-03-29/2021-04-04,12.789423678283432,13.836649068616161,12.66946306671944,13.778539657592773,1096776000,2021-03-29,0.07574444423596471,0.44490934739750526,32.79637389590022
2021-04-05/2021-04-11,13.834154669761228,14.436704124469879,13.678529036394863,14.365374565124512,1138288000,2021-04-05,0.04259050103385653,0.44287927584216014,32.7151710336864
2021-04-12/2021-04-18,14.255389020431952,16.175260396689723,14.105250615328751,15.874236106872559,2864724000,2021-04-12,0.10503461186533758,0.4720077421556119,33.88030968622448
2021-04-19/2021-04-25,15.499141107404187,15.769489372927668,14.747948948259221,15.228545188903809,1460616000,2021-04-19,-0.04067540092144695,0.4645181225862295,33.58072490344918
2021-04-26/2021-05-02,15.148486866025387,15.632819134469093,14.96093799310581,14.973407745361328,946892000,2021-04-26,-0.016753894766545763,0.46328211935722263,33.531284774288906
2021-05-03/2021-05-09,15.088632824702747,15.21008996219256,13.976560415682533,14.776631355285645,1323968000,2021-05-03,-0.013141723876226141,0.41627608031989605,31.65104321279584
2021-05-10/2021-05-16,14.751691893065372,14.77039699677237,13.426635785921249,14.20875072479248,1401916000,2021-05-10,-0.038430993968732396,0.42423333983061673,31.969333593224672
2021-05-17/2021-05-23,14.12295954801123,15.185396608759051,13.510684411423444,14.955699920654297,1741820000,2021-05-17,0.052569660086898784,0.39713717116041897,30.88548684641676
2021-05-24/2021-05-30,15.175923534937695,16.238358296527817,15.13951131633023,16.20543670654297,2586676000,2021-05-24,0.0835625743040449,0.35293830659084946,29.11753226363398
2021-05-31/2021-06-06,16.23087513865415,17.618531567781588,15.865006366078582,17.535982131958008,2264100000,2021-05-31,0.08210487933829214,0.37349901266686586,29.939960506674637
2021-06-07/2021-06-13,17.529001604400246,17.900216958481,17.138628103972838,17.78646469116211,1985340000,2021-06-07,0.014283919618486296,0.36937357814346655,29.774943125738663
2021-06-14/2021-06-20,17.867036117076452,19.33283807847117,17.54623517817857,18.598190307617188,2650044000,2021-06-14,0.045637265783256886,0.36448559742327197,29.57942389693088
2021-06-21/2021-06-27,18.395135639529343,19.377741399109176,17.783969153847508,18.98958969116211,2184172000,2021-06-21,0.021045025191758437,0.35151079237714455,29.060431695085782
2021-06-28/2021-07-04,19.319121510042606,20.460636482580096,19.27696376214403,20.442424774169922,2012536000,2021-06-28,0.07650692335306086,0.36493070723113713,29.597228289245486
2021-07-05/2021-07-11,20.6923742430402,20.829576244042507,19.657883530876774,20.006622314453125,1665060000,2021-07-05,-0.02131853067975853,0.33747354311612593,28.498941724645036
2021-07-12/2021-07-18,20.19595885016762,20.48807125144117,18.033674982685085,18.121482849121094,2231580000,2021-07-12,-0.09422577363147278,0.39656255313681715,30.862502125472687
2021-07-19/2021-07-25,17.876272453992758,19.84372662347577,17.8266294164322,19.515439987182617,2074262000,2021-07-19,0.07692290689826908,0.4077879476654852,31.31151790661941
2021-07-26/2021-08-01,19.268983090779827,19.809801295260304,18.70022152493632,19.456575393676758,1029275000,2021-07-26,-0.0030163088070020994,0.40397954734703817,31.159181893881527
2021-08-02/2021-08-08,19.657136987885195,20.687886201830914,19.17818206550595,20.321683883666992,1140496000,2021-08-02,0.04446355396496893,0.3788771108903251,30.155084435613006
2021-08-09/2021-08-15,20.401509736652816,20.46337510200437,19.387721785320753,20.144073486328125,846321000,2021-08-09,-0.008739944896082985,0.384251304968146,30.370052198725844
2021-08-16/2021-08-22,20.091188339703365,20.819601255693943,18.721177651608038,20.770708084106445,2143670000,2021-08-16,0.031107640577444196,0.3622718284894506,29.490873139578028
2021-08-23/2021-08-29,20.925371052132213,22.672559530752437,20.904416836203,22.586746215820312,1763469000,2021-08-23,0.08743265392591426,0.36658999662391384,29.663599864956552
2021-08-30/2021-09-05,22.780319195441102,22.992855028031574,22.07575777292062,22.797313690185547,1192563000,2021-08-30,0.009322612135153285,0.3672610351863093,29.690441407452372
2021-09-06/2021-09-12,22.78733385604332,22.853201839870717,21.933047423413097,22.433046340942383,897773000,2021-09-06,-0.015978520723693213,0.3709684150416172,29.838736601664692
2021-09-13/2021-09-19,22.638632124604968,22.91807281122728,21.786343372729974,21.856203079223633,1114329000,2021-09-13,-0.02571399590371093,0.38116419567827997,30.2465678271312
2021-09-20/2021-09-26,21.10370520742408,22.48993001213596,20.62067401543582,22.036836624145508,1289064000,2021-09-20,0.008264635182383628,0.35289219406453876,29.11568776258155
2021-09-27/2021-10-03,21.666579384536945,21.755402086260048,20.162592306766307,20.700515747070312,1268665000,2021-09-27,-0.06064032237780459,0.37669768734924985,30.067907493969997
2021-10-04/2021-10-10,20.462990723640694,21.279356000810225,19.515889363226243,20.789337158203125,1330296000,2021-10-04,0.004290782520497416,0.30393244357039306,27.15729774281572
2021-10-11/2021-10-17,20.533845603507586,21.88713769511986,20.469972538344614,21.818275451660156,976757000,2021-10-11,0.04949355939667521,0.28085389099859276,26.23415563994371
2021-10-18/2021-10-24,21.705501532705583,23.083737100831723,21.600710090922558,22.680545806884766,934217000,2021-10-18,0.039520555010639,0.2854387023990998,26.417548095963994
2021-10-25/2021-10-31,22.927052272285216,25.657585359165097,22.724459167024005,25.515869140625,1488830000,2021-10-25,0.12501124787215478,0.3648526000866896,29.594104003467585
2021-11-01/2021-11-07,25.597701356792015,31.33719807733602,25.17654448689096,29.692495346069336,2804653000,2021-11-01,0.16368739714198233,0.4632948641020214,33.531794564080855
2021-11-08/2021-11-14,30.08870279475301,32.24538377071297,28.720445741430538,30.3292179107666,2531279000,2021-11-08,0.021443888675444445,0.4640802215912667,33.56320886365067
2021-11-15/2021-11-21,30.490895063626596,33.021823871138935,28.74239995571456,32.919029235839844,2393479000,2021-11-15,0.08538998047008262,0.46298337973686243,33.5193351894745
2021-11-22/2021-11-28,33.449964882586336,34.577705968394476,30.818239336844954,31.43999671936035,2004729000,2021-11-22,-0.044929408637276236,0.489488005549804,34.57952022199216
2021-11-29/2021-12-05,32.30127147962138,33.345177180046036,30.07342199392584,30.635366439819336,2578613000,2021-11-29,-0.025592568813645356,0.494066150666543,34.76264602666173
2021-12-06/2021-12-12,29.823893662476696,32.388069797769525,27.98535331928716,30.141292572021484,2704874000,2021-12-06,-0.016127565138429723,0.48948880440335524,34.579552176134214
2021-12-13/2021-12-19,30.192200470205613,31.10149226422885,27.198828121818575,27.748798370361328,3384800000,2021-12-13,-0.0793759655775671,0.5386924706783112,36.54769882713245
2021-12-20/2021-12-26,27.253731817980952,30.002556804799386,27.094032389907298,29.58434295654297,1724438000,2021-12-20,0.06614861521867543,0.5108511167408022,35.43404466963209
2021-12-27/2022-01-02,29.60430539650839,31.27117091775834,29.275922316693343,29.355772018432617,1742810000,2021-12-27,-0.00772607789350277,0.5145772412984465,35.58308965193786
2022-01-03/2022-01-09,29.75901650492273,30.653333982242014,27.00619325798991,27.195837020874023,2280890000,2022-01-03,-0.07357786387639065,0.5562242745246826,37.24897098098731
2022-01-10/2022-01-16,26.531084683751956,28.541304091564665,25.595843939583116,26.891407012939453,2318186000,2022-01-10,-0.011193992951969323,0.5583235122400524,37.332940489602095
2022-01-17/2022-01-23,26.210686707549606,26.58797712217777,23.219317018447754,23.330108642578125,2066724000,2022-01-17,-0.1324325785053836,0.5795300700252147,38.181202801008595
2022-01-24/2022-01-30,22.288070327962895,24.011825408045205,20.848778570710763,22.7971134185791,3451684000,2022-01-24,-0.02284580977159667,0.43586323195295734,32.43452927811829
2022-01-31/2022-02-06,23.13846563430385,25.768520179599825,23.008710599499196,24.273332595825195,2392031000,2022-01-31,0.06475465336953623,0.46379291929314187,33.55171677172568
