Date,NVDA_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2020-06-29,9.580131530761719,8.661230096489694,3,120,120.0,58886.37089307698,29.642169894814515,OTM,58886.37089307698,0.0
2020-07-06,10.444232940673828,9.108293749896017,3,120,120.0,59006.37089307698,29.206362884682996,OTM,59006.37089307698,0.0
2020-07-13,10.167410850524902,9.959084342760923,3,120,120.0,59126.37089307698,28.398614572697117,OTM,59126.37089307698,0.0
2020-07-20,10.160435676574707,9.678773667743751,3,120,120.0,59246.37089307698,28.862380057355537,OTM,59246.37089307698,0.0
2020-07-27,10.579282760620117,9.691427696436541,3,120,120.0,59366.37089307698,28.31464417329028,OTM,59366.37089307698,0.0
2020-08-03,11.162075996398926,10.153307207779912,3,120,120.0,59486.37089307698,26.614221739693456,OTM,59486.37089307698,0.0
2020-08-10,11.525361061096191,10.750746657496517,3,120,120.0,59606.37089307698,25.629341875069144,OTM,59606.37089307698,0.0
2020-08-17,12.641119003295898,11.123009841952495,3,120,120.0,59726.37089307698,25.069605237894848,OTM,59726.37089307698,0.0
2020-08-24,13.103816032409668,12.150682704504323,3,120,120.0,59846.37089307698,26.190738555222904,OTM,59846.37089307698,0.0
2020-08-31,12.584086418151855,12.606211517794529,3,120,113.36247010719791,59959.733363184176,25.95338083446724,ASSIGNED,59959.733363184176,0.0
2020-09-07,12.12747859954834,12.046911018150135,3,120,120.0,60079.733363184176,27.31277907202118,OTM,60079.733363184176,0.0
2020-09-14,12.152152061462402,11.561513616750764,3,120,120.0,60199.733363184176,28.461104870849276,OTM,60199.733363184176,0.0
2020-09-21,12.83457088470459,11.59447124511201,3,120,120.0,60319.733363184176,28.237140342050512,OTM,60319.733363184176,0.0
2020-09-28,13.022497177124023,12.241217601808293,3,120,120.0,60439.733363184176,28.335019644463834,OTM,60439.733363184176,0.0
2020-10-05,13.720865249633789,12.481478363993984,3,120,120.0,60559.733363184176,26.983391788528376,OTM,60559.733363184176,0.0
2020-10-12,13.7694673538208,13.173183312353029,3,120,120.0,60679.733363184176,26.513532253741452,OTM,60679.733363184176,0.0
2020-10-19,13.5488920211792,13.22313789541586,3,120,120.0,60799.733363184176,26.444561071006966,OTM,60799.733363184176,0.0
2020-10-26,12.495854377746582,12.991470086167059,3,120,-28.684712526143073,60771.048650658035,26.867027152407456,ASSIGNED,60799.733363184176,-0.0471790103992634
2020-11-02,14.517685890197754,11.88963068563856,3,120,120.0,60891.048650658035,28.993572845657546,OTM,60891.048650658035,0.0
2020-11-09,13.256532669067383,13.569758949877976,3,120,26.032115756822165,60917.08076641486,33.833851149923696,ASSIGNED,60917.08076641486,0.0
2020-11-16,13.047919273376465,12.362038385440684,3,120,120.0,61037.08076641486,34.46297775285389,OTM,61037.08076641486,0.0
2020-11-23,13.220890998840332,12.17361944621252,3,120,120.0,61157.08076641486,34.3277275306328,OTM,61157.08076641486,0.0
2020-11-30,13.520980834960938,12.351319623994232,3,120,120.0,61277.08076641486,33.97169671822171,OTM,61277.08076641486,0.0
2020-12-07,12.977479934692383,12.648684640342884,3,120,120.0,61397.08076641486,33.608760387887,OTM,61397.08076641486,0.0
2020-12-14,13.235518455505371,12.118690484963807,3,120,120.0,61517.08076641486,34.08789325142442,OTM,61517.08076641486,0.0
2020-12-21,12.958030700683594,12.381085958209601,3,120,120.0,61637.08076641486,33.620805468432316,OTM,61637.08076641486,0.0
2020-12-28,13.01911449432373,12.117566043173257,3,120,120.0,61757.08076641486,33.70863551949408,OTM,61757.08076641486,0.0
2021-01-04,13.240255355834961,12.201688933372882,3,120,120.0,61877.08076641486,33.110416189477036,OTM,61877.08076641486,0.0
2021-01-11,12.824151039123535,12.40577126815719,3,120,120.0,61997.08076641486,33.17955974908005,OTM,61997.08076641486,0.0
2021-01-18,13.674808502197266,12.00976884180492,3,120,120.0,62117.08076641486,33.3172937455233,OTM,62117.08076641486,0.0
2021-01-25,12.9540433883667,12.831873517558599,3,120,120.0,62237.08076641486,32.78011185170935,OTM,62237.08076641486,0.0
2021-02-01,13.553641319274902,12.422650831496808,3,120,120.0,62357.08076641486,26.83237112152908,OTM,62357.08076641486,0.0
2021-02-08,14.920125961303711,13.071191093207823,3,120,120.0,62477.08076641486,25.267345797149126,OTM,62477.08076641486,0.0
2021-02-15,14.885472297668457,14.250504578386032,3,120,120.0,62597.08076641486,27.945489803603955,OTM,62597.08076641486,0.0
2021-02-22,13.676798820495605,14.214582467806936,3,120,-41.33509419339927,62555.74567222146,28.000206555122382,ASSIGNED,62597.08076641486,-0.06603358125859164
2021-03-01,12.427247047424316,12.96522631265661,3,120,-41.393779569687894,62514.35189265177,30.007085777290307,ASSIGNED,62597.08076641486,-0.13216091349658327
2021-03-08,12.825087547302246,11.711270510824871,3,120,120.0,62634.35189265177,31.61825892661214,OTM,62634.35189265177,0.0
2021-03-15,12.814862251281738,12.079464432745569,3,120,120.0,62754.35189265177,31.769522152826227,OTM,62754.35189265177,0.0
2021-03-22,12.80837631225586,12.074151151401763,3,120,120.0,62874.35189265177,31.672340590507456,OTM,62874.35189265177,0.0
2021-03-29,13.778539657592773,12.06821994842914,3,120,120.0,62994.35189265177,31.668290540993294,OTM,62994.35189265177,0.0
2021-04-05,14.365374565124512,12.928433721107185,3,120,120.0,63114.35189265177,32.79637389590022,OTM,63114.35189265177,0.0
2021-04-12,15.874236106872559,13.483106335034647,3,120,120.0,63234.35189265177,32.7151710336864,OTM,63234.35189265177,0.0
2021-04-19,15.228545188903809,14.835176921355112,3,120,120.0,63354.35189265177,33.88030968622448,OTM,63354.35189265177,0.0
2021-04-26,14.973407745361328,14.247566875128639,3,120,120.0,63474.35189265177,33.58072490344918,OTM,63474.35189265177,0.0
2021-05-03,14.776631355285645,14.011431123162527,3,120,120.0,63594.35189265177,33.531284774288906,OTM,63594.35189265177,0.0
2021-05-10,14.20875072479248,13.92361919279479,3,120,120.0,63714.35189265177,31.65104321279584,OTM,63714.35189265177,0.0
2021-05-17,14.955699920654297,13.372841689769299,3,120,120.0,63834.35189265177,31.969333593224672,OTM,63834.35189265177,0.0
2021-05-24,16.20543670654297,14.13204440927228,3,120,120.0,63954.35189265177,30.88548684641676,OTM,63954.35189265177,0.0
2021-05-31,17.535982131958008,15.412282074726447,3,120,120.0,64074.35189265177,29.11753226363398,OTM,64074.35189265177,0.0
2021-06-07,17.78646469116211,16.62770604433154,3,120,120.0,64194.35189265177,29.939960506674637,OTM,64194.35189265177,0.0
2021-06-14,18.598190307617188,16.87539040548973,3,120,120.0,64314.35189265177,29.774943125738663,OTM,64314.35189265177,0.0
2021-06-21,18.98958969116211,17.658143697908216,3,120,120.0,64434.35189265177,29.57942389693088,OTM,64434.35189265177,0.0
2021-06-28,20.442424774169922,18.063927398591016,3,120,120.0,64554.35189265177,29.060431695085782,OTM,64554.35189265177,0.0
2021-07-05,20.006622314453125,19.40789940475923,3,120,120.0,64674.35189265177,29.597228289245486,OTM,64674.35189265177,0.0
2021-07-12,18.121482849121094,19.070329192761797,3,120,-164.65390309221095,64509.69798955956,28.498941724645036,ASSIGNED,64674.35189265177,-0.25458918145095755
2021-07-19,19.515439987182617,17.124922135344015,3,120,120.0,64629.69798955956,30.862502125472687,OTM,64674.35189265177,-0.06904422199132629
2021-07-26,19.456575393676758,18.41184158957863,3,120,120.0,64749.69798955956,31.31151790661941,OTM,64749.69798955956,0.0
2021-08-02,20.321683883666992,18.366581392766374,3,120,120.0,64869.69798955956,31.159181893881527,OTM,64869.69798955956,0.0
2021-08-09,20.144073486328125,19.25396631566771,3,120,120.0,64989.69798955956,30.155084435613006,OTM,64989.69798955956,0.0
2021-08-16,20.770708084106445,19.070675005328887,3,120,120.0,65109.69798955956,30.370052198725844,OTM,65109.69798955956,0.0
2021-08-23,22.586746215820312,19.727227930619858,3,120,120.0,65229.69798955956,29.490873139578028,OTM,65229.69798955956,0.0
2021-08-30,22.797313690185547,21.43850637863519,3,120,120.0,65349.69798955956,29.663599864956552,OTM,65349.69798955956,0.0
2021-09-06,22.433046340942383,21.63624782457154,3,120,120.0,65469.69798955956,29.690441407452372,OTM,65469.69798955956,0.0
2021-09-13,21.856203079223633,21.278999288237024,3,120,120.0,65589.69798955956,29.838736601664692,OTM,65589.69798955956,0.0
2021-09-20,22.036836624145508,20.700928693866107,3,120,120.0,65709.69798955956,30.2465678271312,OTM,65709.69798955956,0.0
2021-09-27,20.700515747070312,20.958412406542926,3,120,42.63100215821581,65752.32899171778,29.11568776258155,ASSIGNED,65752.32899171778,0.0
2021-10-04,20.789337158203125,19.619150400538853,3,120,120.0,65872.32899171778,30.067907493969997,OTM,65872.32899171778,0.0
2021-10-11,21.818275451660156,19.91311136636657,3,120,120.0,65992.32899171778,27.15729774281572,OTM,65992.32899171778,0.0
2021-10-18,22.680545806884766,20.968509758799602,3,120,120.0,66112.32899171778,26.23415563994371,OTM,66112.32899171778,0.0
2021-10-25,25.515869140625,21.782776635097377,3,120,120.0,66232.32899171778,26.417548095963994,OTM,66232.32899171778,0.0
2021-11-01,29.692495346069336,24.22486944485299,3,120,120.0,66352.32899171778,29.594104003467585,OTM,66352.32899171778,0.0
2021-11-08,30.3292179107666,27.784828592053085,3,120,120.0,66472.32899171778,33.531794564080855,OTM,66472.32899171778,0.0
2021-11-15,32.919029235839844,28.377340223642726,3,120,120.0,66592.32899171778,33.56320886365067,OTM,66592.32899171778,0.0
2021-11-22,31.43999671936035,30.805487886839835,3,120,120.0,66712.32899171778,33.5193351894745,OTM,66712.32899171778,0.0
2021-11-29,30.635366439819336,29.305856873204423,3,120,120.0,66832.32899171778,34.57952022199216,OTM,66832.32899171778,0.0
2021-12-06,30.141292572021484,28.53639510162463,3,120,120.0,66952.32899171778,34.76264602666173,OTM,66952.32899171778,0.0
2021-12-13,27.748798370361328,28.095305129733358,3,120,16.04797218839103,66968.37696390616,34.579552176134214,ASSIGNED,66968.37696390616,0.0
2021-12-20,29.58434295654297,25.67587420281352,3,120,120.0,67088.37696390616,36.54769882713245,OTM,67088.37696390616,0.0
2021-12-27,29.355772018432617,27.488519948804996,3,120,120.0,67208.37696390616,35.43404466963209,OTM,67208.37696390616,0.0
2022-01-03,27.195837020874023,27.260972773137283,3,120,100.45927432102218,67308.83623822719,35.58308965193786,ASSIGNED,67308.83623822719,0.0
2022-01-10,26.891407012939453,25.098101673166273,3,120,120.0,67428.83623822719,37.24897098098731,OTM,67428.83623822719,0.0
2022-01-17,23.330108642578125,24.809325291523773,3,120,-323.76499468369457,67105.0712435435,37.332940489602095,ASSIGNED,67428.83623822719,-0.48015806403631667
2022-01-24,22.7971134185791,21.455152711797574,3,120,120.0,67225.0712435435,38.181202801008595,OTM,67428.83623822719,-0.3021926612581373
2022-01-31,24.273332595825195,21.419179397582365,3,120,120.0,67345.0712435435,32.43452927811829,OTM,67428.83623822719,-0.12422725847995791
2022-02-07,23.90402603149414,22.71215665829226,3,120,120.0,67465.0712435435,33.55171677172568,OTM,67465.0712435435,0.0
2022-02-14,23.597606658935547,22.569449661306958,3,120,120.0,67585.0712435435,31.10401035337804,OTM,67585.0712435435,0.0
2022-02-21,24.111637115478516,22.286779319358317,3,120,120.0,67705.0712435435,31.022828940022503,OTM,67705.0712435435,0.0
2022-02-28,22.896825790405273,22.738492655361792,3,120,120.0,67825.0712435435,31.426732820698913,OTM,67825.0712435435,0.0
2022-03-07,22.06226348876953,21.57593500703786,3,120,120.0,67945.0712435435,31.639998897016408,OTM,67945.0712435435,0.0
2022-03-14,26.40782356262207,20.848535348929513,3,120,120.0,68065.0712435435,30.868395533919127,OTM,68065.0712435435,0.0
2022-03-21,27.64470672607422,24.288247631869357,3,120,120.0,68185.0712435435,38.15144126117271,OTM,68185.0712435435,0.0
