Period,Ticker,Market_Type,Strategy,Description,Final_Capital,Total_Return_%,Annualized_%,Max_DD_%,Win_Rate_%,Sharpe,Total_Trades,Years,Blown_Up,Stopped_Out,Over_100%,Safe_100%
COVID_Crash_2020,MSTR,stock,Weekly_50_Daily_5,Weekly 50% + Daily 5% overlay,63581.39811264601,27.162796225292023,68.09214827430618,-0.35369687580129644,95.83333333333334,1.1828679113872809,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSTR,stock,Portfolio_Equal_Weight,Weekly all-in split across 5 stocks,73885.0814277279,47.7701628554558,132.550947492771,0.0,100.0,1.329921854087371,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,MSTR,stock,Portfolio_Vol_Weight,"Weekly, weight by inverse volatility",73885.0814277279,47.7701628554558,132.550947492771,0.0,100.0,1.329921854087371,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,MSTR,stock,Weekly_Double_After_Loss,"Weekly, double position after loss",62906.63519341,25.813270386820005,64.26046796470533,0.0,100.0,1.3307570734989471,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,MSTR,stock,Weekly_Safe_Periods,"Weekly all-in, skip high-vol periods",52527.10281042437,5.054205620848734,49.2126969708855,0.0,100.0,1.9465861843045624,6,0.12320328542094455,False,False,False,False
COVID_Crash_2020,AMD,stock,Weekly_All_In_ATM,"Weekly ATM, 100% capital - proven winner",110880.9683161172,121.76193663223441,459.17240704565694,-3.5209289642290473,91.66666666666666,1.2378717041176717,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_All_In_95,"Weekly 5% OTM, 100% capital - safer",99481.56804965882,98.96313609931764,342.30322936535504,0.0,100.0,1.6527911970978661,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_All_In_97,"Weekly 3% OTM, 100% capital",94118.02206189594,88.23604412379188,292.37322793785296,-1.8343518389812792,95.83333333333334,1.5263487180606328,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Daily_50pct_ATM,Daily ATM with 50% capital - safer compounding,68685.90391273746,37.37180782547491,89.78911008187094,-14.403687189636205,75.0,0.23083875543855611,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AMD,stock,Daily_75pct_ATM,Daily ATM with 75% capital,80692.00363405312,61.384007268106245,162.69589832094212,-22.170505878613895,75.0,0.22832960791457668,124,0.49555099247091033,False,False,True,True
COVID_Crash_2020,AMD,stock,Daily_50pct_OTM5,Daily 5% OTM with 50% capital,91990.29684555877,83.98059369111753,242.21435694299655,-5.973010893298754,93.54838709677419,0.7701768613853283,124,0.49555099247091033,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_All_In_ATM_SL20,"Weekly ATM 100%, stop at -20%",110880.9683161172,121.76193663223441,459.17240704565694,-3.5209289642290473,91.66666666666666,1.2378717041176717,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_All_In_ATM_SL30,"Weekly ATM 100%, stop at -30%",110880.9683161172,121.76193663223441,459.17240704565694,-3.5209289642290473,91.66666666666666,1.2378717041176717,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_75pct_ATM_SL25,"Weekly ATM 75%, stop at -25%",90822.05503072582,81.64411006145164,263.27888907081234,-2.6092119121197683,91.66666666666666,1.2723706123035339,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Daily_Compound_Max5,"Daily compounding, max 5% of capital per trade",53224.071044900804,6.448142089801608,13.439279037259656,-3.3874741300662183,75.0,0.20765875423100744,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AMD,stock,Daily_Compound_Max10,"Daily compounding, max 10% of capital per trade",53224.071044900804,6.448142089801608,13.439279037259656,-3.3874741300662183,75.0,0.20765875423100744,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AMD,stock,Daily_Momentum_50pct,Daily 50% capital only on up days,66128.90844604427,32.257816892088535,75.8016379666146,-4.259056484495613,87.95180722891565,0.5512860085432528,83,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AMD,stock,Weekly_Momentum_AllIn,Weekly all-in only after up weeks,74167.11849446107,48.33423698892215,134.4737414809661,-1.8731552734426324,94.11764705882352,1.3257485043010968,17,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_Vol_Adaptive,"Weekly, size by volatility (10-100%)",56476.07006380148,12.952140127602965,30.112124772216696,-0.6438287609053305,95.83333333333334,1.3750830084829249,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AMD,stock,Daily_Vol_Adaptive,"Daily, size by volatility",57491.885951242635,14.983771902485271,32.544551505464,-5.32309468702915,84.67741935483872,0.2880134685740215,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AMD,stock,Weekly_Kelly_Full,Weekly with full Kelly sizing,59296.9327506827,18.593865501365407,44.566090224095966,-0.8399928040950269,91.66666666666666,1.2903966929696562,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AMD,stock,Weekly_Kelly_Half,Weekly with half Kelly (safer),53992.62774642064,7.985255492841286,18.061607653096434,-0.4301246807411552,91.66666666666666,1.3092127990107514,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AMD,stock,Weekly_Ladder_3strikes,"Weekly ladder: 95%, 97%, 100%",60328.870887634104,20.65774177526821,50.058484928753934,-0.6144463942980576,95.83333333333334,1.6319079000706316,24,0.46269678302532513,False,False,False,False
