Ticker,Stock_Name,Strategy,Description,Final_Capital,Total_Return_%,Annualized_Return_%,Max_Drawdown_%,Win_Rate_%,Avg_Win,Avg_Loss,Total_Trades,Years,Blown_Up,Over_100%
TSLA,Tesla,Weekly_All_In_Risk,"Weekly ATM, use 100% of capital every trade",1211148123.4304755,2422196.2468609507,469.77718084496195,-9.109840538393147,90.78498293515358,4657618.435136943,-1030680.7524426547,293,5.801505817932923,NO,YES
TSLA,Tesla,Daily_Volatility_Harvester,"Daily 0.5% ITM during high vol, more contracts",1146636.1987457026,2193.272397491405,71.20193061911174,-8.913105545814634,77.52043596730245,1496.6987135781294,-1838.2028403218426,1468,5.8261464750171115,NO,NO
NVDA,NVIDIA,Daily_ATM_Aggressive,"Daily ATM puts, 2x leverage, high frequency",123155.86549810525,146.3117309962105,16.73323377969278,-2.419915240864937,77.86103542234332,98.18976891921358,-120.23089346632577,1468,5.8261464750171115,NO,NO
NVDA,NVIDIA,Daily_ITM_Premium_Hunter,Daily In-the-Money puts for maximum premium,121193.53249051173,142.38706498102346,16.41185635055318,-0.9565777462265939,77.86103542234332,79.37974862536261,-60.115446733162884,1468,5.8261464750171115,NO,NO
NVDA,NVIDIA,Daily_Scalper_3x,"Daily trades, 3x contracts, quick gains",161484.07129720808,222.96814259441615,22.290349903140072,-1.748074466558773,88.21525885558583,108.18135967600129,-165.38028603013663,1468,5.8261464750171115,NO,NO
NVDA,NVIDIA,Weekly_Leveraged_5x,Weekly with 5x leverage - maximum aggression,169388.7388266486,238.7774776532972,23.407302648839767,-0.37341921453096155,98.29351535836177,416.7705296880782,-128.23474470357692,293,5.801505817932923,NO,NO
NVDA,NVIDIA,Daily_Momentum_Rider,Daily puts only when stock trending up (momentum),87596.41336478904,75.19282672957807,10.137469684782419,-3.157015243039005,84.13068844807468,71.17700159872471,-100.89856461684957,857,5.806981519507187,NO,NO
NVDA,NVIDIA,Daily_High_Vol_Max_Premium,"Daily puts only when VIX>25, max contracts",196275.3521742409,292.5507043484818,26.45508293122436,-3.151891853875065,77.8688524590164,196.8460902104642,-241.13947736323541,1464,5.8261464750171115,NO,NO
NVDA,NVIDIA,Daily_Close_ITM,Daily 1% ITM for higher premium,164081.47939829,228.16295879657997,22.625737195084007,-1.5992920578687424,77.86103542234332,133.99520540231475,-120.23089346632577,1468,5.8261464750171115,NO,NO
NVDA,NVIDIA,Wheel_Strategy_Aggressive,"Sell puts, get assigned, sell calls (simulated)",100624.79141569773,101.24958283139547,12.81179487098032,-0.014128384702442674,99.31740614334471,174.00429177277337,-5.228745089607671,293,5.801505817932923,NO,NO
NVDA,NVIDIA,Daily_Range_Bound,Daily puts when stock pulls back 2%+ (buy the dip),116770.85098873536,133.5417019774707,15.671425167453013,-2.358246667658296,86.37362637362638,111.68054971054595,-169.43597648188398,910,5.8261464750171115,NO,NO
NVDA,NVIDIA,Daily_Compounding_Beast,"Daily ATM, reinvest ALL profits, compound aggressively",415779.32749052625,731.5586549810524,43.84356893434496,-3.849104348383977,77.86103542234332,490.94884459606783,-601.1544673316288,1468,5.8261464750171115,NO,NO
NVDA,NVIDIA,Weekly_All_In_Risk,"Weekly ATM, use 100% of capital every trade",363924424.67791855,727748.8493558371,363.12299141474875,-5.385436031095933,92.83276450511946,1342741.8241369182,-64350.070824913346,293,5.801505817932923,NO,YES
NVDA,NVIDIA,Daily_Volatility_Harvester,"Daily 0.5% ITM during high vol, more contracts",238716.61525424683,377.4332305084937,30.776163228818266,-2.4047633775436204,77.86103542234332,232.52735264764078,-237.11430406771188,1468,5.8261464750171115,NO,NO
AMD,AMD,Daily_ATM_Aggressive,"Daily ATM puts, 2x leverage, high frequency",241691.9802954164,383.3839605908328,31.054502180090672,-4.157492408656997,76.90735694822888,282.9639196149294,-376.91529483728374,1468,5.8261464750171115,NO,NO
AMD,AMD,Daily_ITM_Premium_Hunter,Daily In-the-Money puts for maximum premium,240826.74604522984,381.6534920904597,30.973855428806818,-1.338398492618026,76.90735694822888,225.61017583715653,-188.45764741864187,1468,5.8261464750171115,NO,NO
AMD,AMD,Daily_Scalper_3x,"Daily trades, 3x contracts, quick gains",361324.6976416072,622.6493952832144,40.41916074986385,-4.482573724872778,88.96457765667574,311.78306335678843,-591.7529821133204,1468,5.8261464750171115,NO,NO
AMD,AMD,Weekly_Leveraged_5x,Weekly with 5x leverage - maximum aggression,386901.9221076077,673.8038442152155,42.289369177748235,-2.3695454560153286,96.9283276450512,1210.2034397524183,-755.0949757865571,293,5.801505817932923,NO,NO
AMD,AMD,Daily_Momentum_Rider,Daily puts only when stock trending up (momentum),122031.65641691649,144.06331283383298,16.60856531343109,-4.285626137228574,81.35376756066411,209.46773639698796,-420.5430936161978,783,5.806981519507187,NO,NO
AMD,AMD,Daily_High_Vol_Max_Premium,"Daily puts only when VIX>25, max contracts",433571.01772935275,767.1420354587055,44.881803669747256,-6.691758136454458,76.95978186775733,565.9278392298588,-755.5074342046106,1467,5.8261464750171115,NO,NO
AMD,AMD,Daily_Close_ITM,Daily 1% ITM for higher premium,352315.3400404415,604.6306800808829,39.81190464301913,-2.876361926793848,76.90735694822888,380.9474092030834,-376.9152948372837,1468,5.8261464750171115,NO,NO
AMD,AMD,Wheel_Strategy_Aggressive,"Sell puts, get assigned, sell calls (simulated)",197349.93787761958,294.6998757552392,26.700395277462352,-0.3907745228501913,99.31740614334471,507.6439073282196,-187.21957744618155,293,5.801505817932923,NO,NO
AMD,AMD,Daily_Range_Bound,Daily puts when stock pulls back 2%+ (buy the dip),265981.4679212804,431.9629358425608,33.22640419135414,-4.956062362237009,88.24091778202677,311.8823978772482,-584.4389050359345,1046,5.8261464750171115,NO,NO
AMD,AMD,Daily_Compounding_Beast,"Daily ATM, reinvest ALL profits, compound aggressively",1008459.9014770801,1916.91980295416,67.46991716827083,-10.550489507514373,76.90735694822888,1414.8195980746473,-1884.5764741864184,1468,5.8261464750171115,NO,NO
AMD,AMD,Weekly_All_In_Risk,"Weekly ATM, use 100% of capital every trade",405920101.4047204,811740.2028094409,371.92359783143223,-8.92940953967615,93.51535836177474,1487798.5412573097,-94036.78419907117,293,5.801505817932923,NO,YES
AMD,AMD,Daily_Volatility_Harvester,"Daily 0.5% ITM during high vol, more contracts",547616.9384179693,995.2338768359386,50.80682546544439,-5.3589277793849615,76.90735694822888,664.7274754086355,-745.9008298477314,1468,5.8261464750171115,NO,NO
COIN,Coinbase,Daily_ATM_Aggressive,"Daily ATM puts, 2x leverage, high frequency",291991.062446843,483.98212489368603,64.49783372327218,-10.803791614711475,71.58836689038031,699.1431139953226,-808.8997264179659,894,3.5455167693360714,NO,NO
COIN,Coinbase,Daily_ITM_Premium_Hunter,Daily In-the-Money puts for maximum premium,272959.8497506432,445.91969950128635,61.400347234883526,-5.723636309170354,71.58836689038031,508.8908046964451,-404.44986320898295,894,3.5455167693360714,NO,NO
COIN,Coinbase,Daily_Scalper_3x,"Daily trades, 3x contracts, quick gains",399030.3076479541,698.0606152959082,79.64532133107689,-8.968929165223981,80.08948545861297,769.2703785587237,-1133.5240640454595,894,3.5455167693360714,NO,NO
COIN,Coinbase,Weekly_Leveraged_5x,Weekly with 5x leverage - maximum aggression,504018.156307114,908.0363126142281,93.05184064165408,-2.547225518228778,93.25842696629213,2813.33349548164,-1082.9336619031894,178,3.512662559890486,NO,NO
COIN,Coinbase,Daily_Momentum_Rider,Daily puts only when stock trending up (momentum),106352.53591900735,112.7050718380147,23.98981292652156,-16.032505779102348,71.08433734939759,517.9391493239559,-803.6626094296638,415,3.509924709103354,NO,NO
COIN,Coinbase,Daily_High_Vol_Max_Premium,"Daily puts only when VIX>25, max contracts",533982.1248936863,967.9642497873725,95.02965330477477,-17.561041334778988,71.58836689038031,1398.286227990645,-1617.7994528359318,894,3.5455167693360714,NO,NO
COIN,Coinbase,Daily_Close_ITM,Daily 1% ITM for higher premium,404599.4375383959,709.1988750767919,80.34896666073811,-10.190065394357113,71.58836689038031,875.093700075874,-808.8997264179659,894,3.5455167693360714,NO,NO
COIN,Coinbase,Wheel_Strategy_Aggressive,"Sell puts, get assigned, sell calls (simulated)",266936.61124339607,433.8732224867921,61.09803446346322,-0.8464487054303589,98.87640449438202,1239.909612483299,-643.7402768322527,178,3.512662559890486,NO,NO
COIN,Coinbase,Daily_Range_Bound,Daily puts when stock pulls back 2%+ (buy the dip),333591.6893420284,567.1833786840568,70.79507389897091,-10.122507824027755,79.89347536617842,763.9621000231647,-1157.5203355752997,751,3.5455167693360714,NO,NO
COIN,Coinbase,Daily_Compounding_Beast,"Daily ATM, reinvest ALL profits, compound aggressively",1204015.486184808,2308.030972369616,145.29727211825923,-22.592404981973772,71.58836689038031,3348.107618112766,-3892.8086197140274,894,3.5455167693360714,NO,YES
COIN,Coinbase,Weekly_All_In_Risk,"Weekly ATM, use 100% of capital every trade",119715292.67291692,239330.58534583382,816.219435875589,-12.529021534101862,85.95505617977528,818104.8896082497,-220190.21748581142,178,3.512662559890486,NO,YES
